student_id,name,email,dob,country,id_number,consent_given
S0000,Allison Hill,donaldgarcia@example.net,2006-01-30,Benin,605-55-0521,True
S0001,Daniel Wagner,hoffmanjennifer@example.net,2001-07-26,Cyprus,460-76-4558,True
S0002,Abigail Shaffer,jpeterson@example.org,2006-12-04,Guadeloupe,105-12-6225,False
S0003,Ryan Munoz,blairamanda@example.com,1995-07-05,French Polynesia,850-81-5926,True
S0004,Michele Williams,kendragalloway@example.org,2005-09-30,Hong Kong,285-59-5978,True
S0005,Henry Santiago,lynchgeorge@example.net,1997-08-31,Kyrgyz Republic,389-35-9126,True
S0006,Frederick Tate,perezantonio@example.com,1999-09-12,Bahrain,217-73-5156,True
S0007,Jonathan Wilkerson,ithomas@example.org,2004-03-02,Mauritania,270-96-9578,True
S0008,Kevin Cox,williamdavis@example.org,2005-09-04,Cape Verde,643-21-6917,False
S0009,Janice Carlson,jrice@example.org,2003-04-29,Brazil,699-69-4372,True
S0010,Gina Carter,shawnmckay@example.net,1997-11-27,Macao,781-23-8318,True
S0011,Sheila Evans,ericfarmer@example.net,2006-11-17,Uzbekistan,544-01-9814,True
S0012,Alec Hickman,john39@example.org,1995-08-06,Libyan Arab Jamahiriya,836-09-8728,True
S0013,Betty Alvarez,josephbrennan@example.com,2007-01-07,Vanuatu,553-97-3296,True
S0014,Jennifer Powers,samuel87@example.org,1997-09-15,Bahrain,347-03-9639,True
S0015,Leah Smith,perezrebecca@example.com,1995-05-28,Dominica,286-86-7954,True
S0016,Carlos Walls,esanchez@example.com,1996-12-16,Bhutan,675-56-5805,False
S0017,John Daniel,brownjessica@example.org,1997-09-18,Comoros,550-58-2297,True
S0018,Donald Wright,ramosmichelle@example.net,1995-10-03,Pakistan,554-02-1529,False
S0019,Sarah Martin,zolson@example.org,1996-08-15,Afghanistan,400-34-7455,False
S0020,Michael Cross,smoore@example.org,2007-01-28,Mozambique,754-70-0999,True
S0021,Amy Silva,brianromero@example.org,1995-05-17,Bangladesh,692-31-6616,True
S0022,Steve Sanchez,harveyrobert@example.net,2001-10-30,Germany,268-27-5148,False
S0023,James Powers,stephen10@example.com,2002-07-23,Mongolia,103-10-8809,False
S0024,Derek Mahoney,suarezmike@example.org,2000-03-06,Mayotte,721-39-8667,False
S0025,Robert Evans,mcmillandennis@example.org,2006-01-18,Samoa,567-20-4463,True
S0026,Daniel Cooper,william40@example.org,2002-09-23,Switzerland,284-06-0059,True
S0027,Carlos Whitney,joycearnold@example.com,2001-10-10,Bouvet Island (Bouvetoya),078-89-2443,False
S0028,Sandra Aguilar,russellwilliams@example.com,2006-03-03,South Africa,882-06-5863,True
